Price,Adj Close,Close,High,Low,Open,Volume
Ticker,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS,005930.KS
Date,,,,,,
2023-01-02,51925.33984375,55500.0,56100.0,55200.0,55500.0,10031448
2023-01-03,51831.7734375,55400.0,56000.0,54500.0,55400.0,13547030
2023-01-04,54077.20703125,57800.0,58000.0,55600.0,55700.0,20188071
2023-01-05,54451.4375,58200.0,58800.0,57600.0,58200.0,15682826
2023-01-06,55199.91015625,59000.0,59400.0,57900.0,58300.0,17334989
2023-01-09,56790.41796875,60700.0,60700.0,59600.0,59700.0,18640107
2023-01-10,56509.73828125,60400.0,61100.0,59900.0,60200.0,14859797
2023-01-11,56603.296875,60500.0,61200.0,60300.0,61000.0,12310751
2023-01-12,56603.296875,60500.0,61200.0,59900.0,61100.0,16102561
2023-01-13,56883.96484375,60800.0,61200.0,60400.0,60500.0,12510328
2023-01-16,57164.65234375,61100.0,61600.0,60800.0,61300.0,10039972
2023-01-17,57071.1015625,61000.0,61500.0,60600.0,61200.0,9831456
2023-01-18,56509.73828125,60400.0,61000.0,59900.0,60700.0,11584041
2023-01-19,57538.89453125,61500.0,61500.0,60400.0,60500.0,12808490
2023-01-20,57819.5625,61800.0,62300.0,61100.0,62100.0,9646327
2023-01-25,59222.953125,63300.0,63700.0,63000.0,63500.0,39217
2023-01-26,59690.75,63800.0,63900.0,63300.0,63800.0,54188
2023-01-27,60439.2265625,64600.0,65000.0,63900.0,64400.0,44282
2023-01-30,59222.953125,63300.0,64900.0,63100.0,64900.0,59628
2023-01-31,57445.33203125,61400.0,63700.0,61000.0,63500.0,163847
2023-02-01,57071.1015625,61000.0,62700.0,61000.0,62600.0,98585
2023-02-02,59410.078125,63500.0,63900.0,62600.0,63200.0,65992
2023-02-03,59410.078125,63500.0,64000.0,63000.0,63900.0,47567
2023-02-06,57632.44140625,61600.0,63000.0,61600.0,62800.0,144104
2023-02-07,58006.6875,62000.0,62500.0,61600.0,61900.0,32873
2023-02-08,59035.83984375,63100.0,63300.0,62400.0,62800.0,42558
2023-02-09,59222.953125,63300.0,63300.0,62300.0,63000.0,48035
2023-02-10,58848.72265625,62900.0,63000.0,62400.0,62600.0,44786
2023-02-13,58848.72265625,62900.0,63000.0,62300.0,62900.0,59395
